,period,stateId,producertypeid,energysourceid,capability,capability-units
389,2003,TX,IPP,NUC,4768,megawatts
390,2003,TX,IPP,NG,55747,megawatts
391,2003,TX,IPP,HYC,7,megawatts
392,2003,TX,IPP,COL,11864,megawatts
393,2003,TX,EU,ALL,22629,megawatts
394,2003,TX,EU,WND,1,megawatts
395,2003,TX,EU,PET,5,megawatts
396,2003,TX,EU,OT,13,megawatts
397,2003,TX,EU,NG,13729,megawatts
398,2003,TX,EU,HYC,692,megawatts
399,2003,TX,EU,COL,8189,megawatts
400,2002,TX,TOT,ALL,96565,megawatts
401,2002,TX,TOT,WOO,100,megawatts
402,2002,TX,TOT,WND,1085,megawatts
403,2002,TX,TOT,SOL,6,megawatts
404,2002,TX,TOT,PET,778,megawatts
405,2002,TX,TOT,OOG,295,megawatts
406,2002,TX,TOT,OBM,17,megawatts
407,2002,TX,TOT,OT,118,megawatts
408,2002,TX,TOT,NUC,4737,megawatts
409,2002,TX,TOT,NG,68536,megawatts
410,2002,TX,TOT,HYC,697,megawatts
411,2002,TX,TOT,COL,20196,megawatts
412,2002,TX,IPP,ALL,57662,megawatts
413,2002,TX,IPP,WOO,100,megawatts
414,2002,TX,IPP,WND,1084,megawatts
415,2002,TX,IPP,PET,773,megawatts
416,2002,TX,IPP,OOG,295,megawatts
417,2002,TX,IPP,OBM,17,megawatts
418,2002,TX,IPP,OT,118,megawatts
419,2002,TX,IPP,NUC,2208,megawatts
420,2002,TX,IPP,NG,45262,megawatts
421,2002,TX,IPP,HYC,7,megawatts
422,2002,TX,IPP,COL,7798,megawatts
423,2002,TX,EU,ALL,38903,megawatts
424,2002,TX,EU,WND,1,megawatts
425,2002,TX,EU,SOL,6,megawatts
426,2002,TX,EU,PET,5,megawatts
427,2002,TX,EU,NUC,2529,megawatts
428,2002,TX,EU,NG,23274,megawatts
429,2002,TX,EU,HYC,690,megawatts
430,2002,TX,EU,COL,12398,megawatts
431,2001,TX,TOT,ALL,88256,megawatts
432,2001,TX,TOT,WOO,100,megawatts
433,2001,TX,TOT,WND,925,megawatts
434,2001,TX,TOT,SOL,1,megawatts
435,2001,TX,TOT,PET,1700,megawatts
436,2001,TX,TOT,OOG,155,megawatts
437,2001,TX,TOT,OBM,10,megawatts
438,2001,TX,TOT,OT,3548,megawatts
439,2001,TX,TOT,NUC,4737,megawatts
440,2001,TX,TOT,NG,56470,megawatts
441,2001,TX,TOT,HYC,697,megawatts
442,2001,TX,TOT,COL,19913,megawatts
443,2001,TX,IPP,ALL,49315,megawatts
444,2001,TX,IPP,WOO,100,megawatts
445,2001,TX,IPP,WND,923,megawatts
446,2001,TX,IPP,PET,1695,megawatts
447,2001,TX,IPP,OOG,155,megawatts
448,2001,TX,IPP,OBM,10,megawatts
449,2001,TX,IPP,OT,3049,megawatts
450,2001,TX,IPP,NUC,2208,megawatts
451,2001,TX,IPP,NG,33727,megawatts
452,2001,TX,IPP,HYC,7,megawatts
453,2001,TX,IPP,COL,7442,megawatts
454,2001,TX,EU,ALL,38940,megawatts
455,2001,TX,EU,COL,12471,megawatts
456,2001,TX,EU,HYC,690,megawatts
457,2001,TX,EU,NG,22744,megawatts
458,2001,TX,EU,NUC,2529,megawatts
459,2001,TX,EU,OT,499,megawatts
460,2001,TX,EU,PET,5,megawatts
461,2001,TX,EU,SOL,1,megawatts
462,2001,TX,EU,WND,1,megawatts
463,2000,TX,TOT,ALL,81898,megawatts
464,2000,TX,TOT,WOO,168,megawatts
465,2000,TX,TOT,WND,173,megawatts
466,2000,TX,TOT,SOL,1,megawatts
467,2000,TX,TOT,PET,746,megawatts
468,2000,TX,TOT,OOG,171,megawatts
469,2000,TX,TOT,OBM,17,megawatts
470,2000,TX,TOT,OT,505,megawatts
471,2000,TX,TOT,NUC,4800,megawatts
